address,sido,sigungu,code,lat,long,SIG_CD
강원도 강릉시 경강로 2096 (임당동)033-645-7835 ,강원,강릉,강릉,37.7544531,128.8962224,42150
강원도 강릉시 경강로 2400 (송정동)033-652-3683 ,강원,강릉,강릉,37.771851,128.922839,42150
강원도 강릉시 교동광장로 114 (교동)033-642-3463 ,강원,강릉,강릉,37.764312,128.877061,42150
강원도 강릉시 창해로14번길 40 (견소동)033-653-8628 ,강원,강릉,강릉,37.771376,128.948725,42150
강원도 고성군 토성면 미시령옛길 1153033-636-8697 ,강원,고성,강원고성,38.212094,128.493948,42820
강원도 동해시 중앙로 219 (천곡동)033-532-3314 ,강원,동해,동해,37.520193,129.114767,42170
강원도 속초시 동해대로 4114 (조양동)033-633-7989 ,강원,속초,속초,38.1898709,128.5844124,42210
강원도 속초시 미시령로2983번길 111 (장사동)033-637-3402 ,강원,속초,속초,38.21059,128.528526,42210
강원도 속초시 중앙로 123 (금호동)033-637-8617 ,강원,속초,속초,38.202593,128.589453,42210
강원도 원주시 남원로 588 (명륜동)033-764-2760 ,강원,원주,원주,37.335971,127.949754,42130
강원도 원주시 능라동길 73 (무실동)033-745-3448 ,강원,원주,원주,37.332972,127.930448,42130
강원도 원주시 동부순환로 37 (반곡동)033-762-3664 ,강원,원주,원주,37.319904,127.97157,42130
강원도 원주시 서원대로 178 (단계동)033-748-7545 ,강원,원주,원주,37.343887,127.9311,42130
"강원도 원주시 서원대로 402, 대신프라자 101,102,103호 (단구동)033-766-8611 ",강원,원주,원주,37.330449,127.949266,42130
강원도 원주시 혁신로 61 (반곡동)033-747-3341 ,강원,원주,원주,37.323157,127.980611,42130
강원도 춘천시 경춘로 2353 (온의동) E-마트 춘천점내 1층033-241-1974 ,강원,춘천,춘천,37.86381381,127.71833,42110
강원도 춘천시 동면 순환대로 1154-63 033-244-9180 ,강원,춘천,춘천,37.888306,127.776182,42110
강원도 춘천시 서부대성로 243-1 (효자동)033-256-8490 ,강원,춘천,춘천,37.872749,127.745062,42110
강원도 춘천시 중앙로 57 (중앙로2가)033-242-8266 ,강원,춘천,춘천,37.87999215,127.7275212,42110
강원도 춘천시 후석로 13 (석사동)033-262-2634 ,강원,춘천,춘천,37.856608,127.739326,42110
강원도 춘천시 후석로 318 (후평동)033-257-3287 ,강원,춘천,춘천,37.879435,127.750579,42110
강원도 홍천군 한치골길 262 (서면) 대명비발디파크 오션월드033-434-9805 ,강원,홍천,홍천,37.648815,127.686053,42720
강원도 홍천군 한치골길 262 (서면) 대명비발디파크033-434-1025 ,강원,홍천,홍천,37.645094,127.682234,42720
경기 구리시 경춘북로252 A101 031-572-3631 ,경기,구리,구리,37.633967,127.115944,41310
경기 남양주시 진접읍 해밀예당1로27 031-529-3642 ,경기,남양주,남양주,37.7113167,127.1853201,41360
경기 의정부시 금신로 63 031-826-3675 ,경기,의정부,의정부,37.726309,127.064835,41150
경기도 고양시 덕양구 고양대로 1955 (동산동)031-5173-1038 ,경기,고양,고양,37.64697,126.895523,41281
경기도 고양시 덕양구 고양대로 1955 (동산동)031-5173-1065 ,경기,고양,고양,37.646086,126.893098,41281
경기도 고양시 덕양구 고양대로 1955 (동산동)031-5173-3028 ,경기,고양,고양,37.647216,126.895577,41281
경기도 고양시 덕양구 고양대로 1955 (동산동)031-5173-3039 ,경기,고양,고양,37.647983,126.896489,41281
경기도 고양시 덕양구 신원동 628-202-371-3271 ,경기,고양,고양,37.663813,126.891317,41281
경기도 고양시 덕양구 원흥5로 25 031-966-3818 ,경기,고양,고양,37.649538,126.876107,41281
경기도 고양시 덕양구 충장로 14 (행신동)031-973-3234 ,경기,고양,고양,37.613996,126.834455,41281
경기도 고양시 덕양구 호국로 1775 (고양동)031-965-4579 ,경기,고양,고양,37.7095394,126.9052947,41281
경기도 고양시 덕양구 호국로 811 (주교동)031-965-7850 ,경기,고양,고양,37.658155,126.837639,41281
경기도 고양시 덕양구 화신로260번길 57 (화정동)031-973-8530 ,경기,고양,고양,37.6335731,126.8327327,41281
경기도 고양시 덕양구 화신로272번길 57 (화정동)031-938-8338 ,경기,고양,고양,37.63353224,126.8314538,41281
경기도 고양시 일산동구 강송로 33 (백석동)031-849-6688 ,경기,고양,고양,37.6411,126.790987,41285
경기도 고양시 일산동구 무궁화로 237 (중산동)031-977-8795 ,경기,고양,고양,37.673769,126.786883,41285
경기도 고양시 일산동구 무궁화로 294 (풍동)031-903-3601 ,경기,고양,고양,37.6748,126.793181,41285
경기도 고양시 일산동구 백마로 475 (풍동)031-903-3461 ,경기,고양,고양,37.662091,126.8009,41285
경기도 고양시 일산동구 식사동 814 경기도 고양시 일산동구 동국로 27031-961-9180 ,경기,고양,고양,37.676411,126.806405,41285
경기도 고양시 일산동구 위시티2로11번길 31 (식사동)031-968-8814 ,경기,고양,고양,37.6779381,126.812161,41285
경기도 고양시 일산동구 일산로 237 (마두동)031-904-7968 ,경기,고양,고양,37.6570742,126.7880695,41285
경기도 고양시 일산동구 장항동 1755 031-921-3840 ,경기,고양,고양,37.6618,126.7507,41285
경기도 고양시 일산동구 정발산로 24 (장항동)031-931-5283 ,경기,고양,고양,37.654744,126.772619,41285
"경기도 고양시 일산동구 정발산로 이스턴시티 38번지 116,117호031-904-7521 ",경기,고양,고양,37.656696,126.77312,41285
"경기도 고양시 일산동구 중앙로 1054, 1층 (백석동)031-903-8618 ",경기,고양,고양,37.6439377,126.7873856,41285
경기도 고양시 일산동구 중앙로 1059 (백석동)031-907-6755 ,경기,고양,고양,37.643888,126.786153,41285
경기도 고양시 일산동구 중앙로 1191 (장항동)031-907-6482 ,경기,고양,고양,37.652965,126.776768,41285
경기도 고양시 일산동구 중앙로1275번길 38-9 (장항동)031-908-8625 ,경기,고양,고양,37.66011,126.76991,41285
경기도 고양시 일산서구 대화동 1050-185031-929-5315 ,경기,고양,고양,37.665402,126.75727,41287
경기도 고양시 일산서구 대화동 킨텍스로 171031-912-8924 ,경기,고양,고양,37.662238,126.743981,41287
경기도 고양시 일산서구 일산로 541 (일산동)031-921-8919 ,경기,고양,고양,37.6773867,126.7675699,41287
경기도 고양시 일산서구 일현로 97-11 (일산위브더제니스스퀘어1동147~151)031-913-8712 ,경기,고양,고양,37.695265,126.762135,41287
"경기도 고양시 일산서구 중앙로 1420, 1층 (주엽동)031-911-8660 ",경기,고양,고양,37.669903,126.762657,41287
"경기도 고양시 일산서구 중앙로 1456, 서현프라자 112호 ,113호,114호 (주엽동)031-913-8206 ",경기,고양,고양,37.671554,126.758992,41287
"경기도 고양시 일산서구 중앙로 1559, 시티타워 1~2층 (대화동)031-918-8674 ",경기,고양,고양,37.6753761,126.7481894,41287
경기도 고양시 일산서구 탄중로 106 (덕이동)031-919-3353 ,경기,고양,고양,37.69192,126.756991,41287
경기도 고양시 일산서구 하이파크2로 67 (덕이동)031-919-3453 ,경기,고양,고양,37.699706,126.75709,41287
경기도 과천시 별양상가3로 11 이마트 1층(별양동)02-758-8033 ,경기,과천,과천,37.42629945,126.991852,41290
"경기도 과천시 중앙로 129, 고려빌딩 1층 (중앙동)02-758-8369 ",경기,과천,과천,37.428183,126.991074,41290
경기도 과천시 중앙로 277 (중앙동)02-504-3497 ,경기,과천,과천,37.439309,126.99377,41290
경기도 광명시 광명로 907 (광명동)02-2619-3389 ,경기,광명,광명,37.479895,126.854325,41210
경기도 광명시 금하로 464 (소하동)02-897-3386 ,경기,광명,광명,37.44866,126.883959,41210
경기도 광명시 디지털로 17 (철산1동) 가림빌딩02-2689-3192 ,경기,광명,광명,37.4739663,126.8693507,41210
경기도 광명시 범안로 1036 (하안동)02-897-3672 ,경기,광명,광명,37.4616837,126.8783697,41210
경기도 광명시 범안로 1060 (하안동)02-758-8825 ,경기,광명,광명,37.462605,126.880577,41210
"경기도 광명시 양지로 16 (일직동, 광명역써밋플레이스)02-898-3617 ",경기,광명,광명,37.416562,126.88083,41210
경기도 광명시 오리로 361 (소하동)02-898-3671 ,경기,광명,광명,37.435072,126.879143,41210
경기도 광명시 오리로 865 (철산동)02-2625-5466 ,경기,광명,광명,37.475412,126.865869,41210
경기도 광명시 철산로 15 (철산동)02-3666-9765 ,경기,광명,광명,37.476177,126.8676737,41210
경기도 광주시 광주대로 35 (경안동)031-765-9893 ,경기,광주,광주,37.4097851,127.2602128,41610
경기도 광주시 송정동 12-12외 1필지 031-767-3767 ,경기,광주,광주,37.4162894,127.2722943,41610
경기도 광주시 오포읍 태재로 37 031-717-3566 ,경기,광주,광주,37.36005,127.153125,41610
"경기도 구리시 건원대로 67, 1층 (인창동)031-568-8682 ",경기,구리,구리,37.60688,127.13896,41310
"경기도 구리시 검배로 5, 우진빌딩 (수택동)031-567-8593 ",경기,구리,구리,37.600585,127.141922,41310
경기도 군포시 고산로701 031-392-3638 ,경기,군포,군포,37.372658,126.935735,41410
"경기도 군포시 번영로 497, 금화프라자 1층 (산본동)031-392-8435 ",경기,군포,군포,37.358087,126.931956,41410
"경기도 군포시 산본로 398, 태주빌딩 2층031-398-9447 ",경기,군포,군포,37.365491,126.929426,41410
"경기도 군포시 산본로343번길 9, 성진빌딩 1층 (산본동)031-391-8216 ",경기,군포,군포,37.36061352,126.9317436,41410
경기도 김포시 김포한강11로 288-32031-989-4922 ,경기,김포,김포,37.6543091,126.6841727,41570
"경기도 김포시 김포한강2로 41 (장기동, E편한세상 캐널시티)031-986-3530 ",경기,김포,김포,37.640452,126.677493,41570
"경기도 김포시 김포한강4로 117, 홍우프라자 102~105호 (장기동)031-998-7586 ",경기,김포,김포,37.644239,126.667908,41570
"경기도 김포시 김포한강4로 487 (구래동, 한강신도시 반도유보라 4차)031-985-3653 ",경기,김포,김포,37.645803,126.629073,41570
경기도 김포시 김포한강7로 71031-996-3065 ,경기,김포,김포,37.6443438,126.628299,41570
경기도 김포시 사우중로 35 (사우동)031-985-6745 ,경기,김포,김포,37.618396,126.717912,41570
경기도 김포시 중봉로 27 (감정동)031-987-3418 ,경기,김포,김포,37.624786,126.696429,41570
경기도 김포시 태장로 779 (장기동)031-987-3827 ,경기,김포,김포,37.6377,126.677,41570
경기도 김포시 풍무로 45 (풍무동)031-998-6728 ,경기,김포,김포,37.600112,126.720441,41570
경기도 남양주시 경춘로 1269031-591-5938 ,경기,남양주,남양주,37.6477605,127.2346938,41360
"경기도 남양주시 늘을1로16번길 25, 성보빌딩 (호평동)031-595-4597 ",경기,남양주,남양주,37.6540359,127.2428799,41360
경기도 남양주시 별내5로5번길 15 (별내동)031-575-3328 ,경기,남양주,남양주,37.650317,127.112364,41360
경기도 남양주시 별내중앙로 64 1-2층031-572-1861 ,경기,남양주,남양주,37.6479682,127.1233987,41360
경기도 남양주시 와부읍 경강로 772 031-577-3227 ,경기,남양주,남양주,37.567114,127.228362,41360
경기도 남양주시 진접읍 금강로 1477 031-529-3287 ,경기,남양주,남양주,37.723076,127.190357,41360
경기도 동두천시 지행로 55 (지행동)031-859-3732 ,경기,동두천,동두천,37.892653,127.053463,41360
경기도 동두천시 평화로 2254 (지행동)031-868-3251 ,경기,동두천,동두천,37.888925,127.057066,41360
"경기도 부천시 길주로 181, 102,103,104,110,111,112호 (중동)032-327-9646 ",경기,부천,부천,37.505534,126.762448,41190
경기도 부천시 길주로 281 (중동) 동화빌딩032-322-4921 ,경기,부천,부천,37.5037646,126.7741439,41190
경기도 부천시 부천로 97 (심곡동)032-611-3414 ,경기,부천,부천,37.492932,126.78441,41190
경기도 부천시 부흥로 193 (중동)032-614-3212 ,경기,부천,부천,37.4963743,126.7642,41190
경기도 부천시 소사구 경인로 485032-349-7884 ,경기,부천,부천,37.4835239,126.8093104,41190
경기도 부천시 송내대로 239 (상동)032-624-7342 ,경기,부천,부천,37.504279,126.756992,41190
경기도 부천시 신흥로 161 (중동)032-322-6730 ,경기,부천,부천,37.497976,126.77702,41190
경기도 부천시 옥길동 768 스타필드시티부천 02-6386-1161 ,경기,부천,부천,37.461754,126.81328,41190
"경기도 부천시 원미구 길주로 180, 현대백화점부천중동점 중동점 지하1층 (중동)032-623-2872 ",경기,부천,부천,37.50428252,126.7621682,41190
"경기도 부천시 원미구 부일로 204, 루치올라빌딩 (상동)032-323-8434 ",경기,부천,부천,37.488389,126.752604,41190
"경기도 부천시 원미구 부천로 7, 1,2층 (심곡동)032-612-8531 ",경기,부천,부천,37.485054,126.782117,41190
경기도 부천시 원미구 상동로 87 (상동)032-325-8433 ,경기,부천,부천,37.5051779,126.7524236,41190
경기도 부천시 원미구 석천로 188 (중동)032-327-3356 ,경기,부천,부천,37.504022,126.763939,41190
경기도 부천시 원미구 조마루로 2 (상동)032-220-7988 ,경기,부천,부천,37.49991091,126.7449246,41190
"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 1층 (구미동)031-715-6581 ",경기,성남,성남,37.3504033,127.1244617,41135
"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 4층 (구미동)031-716-6583 ",경기,성남,성남,37.351934,127.123312,41135
경기도 성남시 분당구 대왕판교로 660 (삼평동)031-724-2501 ,경기,성남,성남,37.400343,127.107241,41135
경기도 성남시 분당구 대왕판교로606번길 10 (백현동 알파돔시티)031-703-3531 ,경기,성남,성남,37.394263,127.109227,41135
"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 1층 (삼평동)031-8016-5666 ",경기,성남,성남,37.395911,127.113233,41135
경기도 성남시 분당구 돌마로 43 (금곡동) 메디파크빌딩031-714-9753 ,경기,성남,성남,37.350318,127.106655,41135
"경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스)031-702-3603 ",경기,성남,성남,37.397965,127.113162,41135
"경기도 성남시 분당구 백현로101번길 30, 1-2층 (수내동)031-714-8308 ",경기,성남,성남,37.37782763,127.1138859,41135
경기도 성남시 분당구 분당로 43 (서현동)031-708-6758 ,경기,성남,성남,37.38405,127.120257,41135
경기도 성남시 분당구 불정로 134 (정자동)031-716-8397 ,경기,성남,성남,37.35885,127.119777,41135
경기도 성남시 분당구 새마을로175번길 4 (율동)031-703-3403 ,경기,성남,성남,37.38385,127.149963,41135
"경기도 성남시 분당구 서현로210번길 20, 1층 (서현동)031-8016-7387 ",경기,성남,성남,37.385921,127.124098,41135
경기도 성남시 분당구 성남대로 151 (구미동)031-724-1337 ,경기,성남,성남,37.349605,127.108302,41135
경기도 성남시 분당구 성남대로 275 (정자동)031-715-9461 ,경기,성남,성남,37.3608179,127.1075827,41135
"경기도 성남시 분당구 성남대로 32, 1층 (구미동)031-719-8349 ",경기,성남,성남,37.338617,127.109225,41135
